2021-02-02 19:58:29 mysql_pool.py [line:64] WARNING: 已经存在的网站信息:{'domain_name': 'DOUYU.COM', 'ip': '110.185.121.218', 'area': None, 'registrar_domain_id': '81120383_DOMAIN_COM-VRSN', 'registrar_whois_server': 'whois.godaddy.com', 'registrar_url': 'http://www.godaddy.com', 'updated_date': '2019-07-25T09:47:19Z', 'creation_date': '2001-12-13T08:26:18Z', 'registry_expiry_date': '2024-12-13T08:26:18Z', 'registrar': 'GoDaddy.com, LLC', 'registrar_iana_id': '146', 'registrar_abuse_contact_email': 'abuse@godaddy.com', 'registrar_abuse_contact_phone': '*******-2505'}
2021-02-02 20:00:30 mysql_pool.py [line:64] WARNING: 已经存在的网站信息:{'domain_name': 'DOUYU.COM', 'ip': '110.185.121.221', 'area': None, 'registrar_domain_id': '81120383_DOMAIN_COM-VRSN', 'registrar_whois_server': 'whois.godaddy.com', 'registrar_url': 'http://www.godaddy.com', 'updated_date': '2019-07-25T09:47:19Z', 'creation_date': '2001-12-13T08:26:18Z', 'registry_expiry_date': '2024-12-13T08:26:18Z', 'registrar': 'GoDaddy.com, LLC', 'registrar_iana_id': '146', 'registrar_abuse_contact_email': 'abuse@godaddy.com', 'registrar_abuse_contact_phone': '*******-2505'}
2021-02-02 20:11:04 mysql_pool.py [line:64] WARNING: 已经存在的网站信息:{'domain_name': 'DOUYU.COM', 'ip': '110.185.121.217', 'area': None, 'registrar_domain_id': '81120383_DOMAIN_COM-VRSN', 'registrar_whois_server': 'whois.godaddy.com', 'registrar_url': 'http://www.godaddy.com', 'updated_date': '2019-07-25T09:47:19Z', 'creation_date': '2001-12-13T08:26:18Z', 'registry_expiry_date': '2024-12-13T08:26:18Z', 'registrar': 'GoDaddy.com, LLC', 'registrar_iana_id': '146', 'registrar_abuse_contact_email': 'abuse@godaddy.com', 'registrar_abuse_contact_phone': '*******-2505'}
2021-02-02 20:13:04 mysql_pool.py [line:64] WARNING: 已经存在的网站信息:{'domain_name': 'DOUYU.COM', 'ip': '110.185.121.217', 'area': None, 'registrar_domain_id': '81120383_DOMAIN_COM-VRSN', 'registrar_whois_server': 'whois.godaddy.com', 'registrar_url': 'http://www.godaddy.com', 'updated_date': '2019-07-25T09:47:19Z', 'creation_date': '2001-12-13T08:26:18Z', 'registry_expiry_date': '2024-12-13T08:26:18Z', 'registrar': 'GoDaddy.com, LLC', 'registrar_iana_id': '146', 'registrar_abuse_contact_email': 'abuse@godaddy.com', 'registrar_abuse_contact_phone': '*******-2505'}
2021-02-02 20:17:32 mysql_pool.py [line:64] WARNING: 已经存在的网站信息:{'domain_name': 'DOUYU.COM', 'ip': '110.185.121.219', 'area': None, 'registrar_domain_id': '81120383_DOMAIN_COM-VRSN', 'registrar_whois_server': 'whois.godaddy.com', 'registrar_url': 'http://www.godaddy.com', 'updated_date': '2019-07-25T09:47:19Z', 'creation_date': '2001-12-13T08:26:18Z', 'registry_expiry_date': '2024-12-13T08:26:18Z', 'registrar': 'GoDaddy.com, LLC', 'registrar_iana_id': '146', 'registrar_abuse_contact_email': 'abuse@godaddy.com', 'registrar_abuse_contact_phone': '*******-2505'}
2021-02-02 20:18:44 mysql_pool.py [line:64] WARNING: 已经存在的网站信息:{'domain_name': 'DOUYU.COM', 'ip': '110.185.121.217', 'area': None, 'registrar_domain_id': '81120383_DOMAIN_COM-VRSN', 'registrar_whois_server': 'whois.godaddy.com', 'registrar_url': 'http://www.godaddy.com', 'updated_date': '2019-07-25T09:47:19Z', 'creation_date': '2001-12-13T08:26:18Z', 'registry_expiry_date': '2024-12-13T08:26:18Z', 'registrar': 'GoDaddy.com, LLC', 'registrar_iana_id': '146', 'registrar_abuse_contact_email': 'abuse@godaddy.com', 'registrar_abuse_contact_phone': '*******-2505'}
2021-02-02 20:24:30 mysql_pool.py [line:62] INFO: 插入新的网站信息:{'domain_name': 'DOUYU.COM', 'ip': '110.185.121.220', 'area': None, 'registrar_domain_id': '81120383_DOMAIN_COM-VRSN', 'registrar_whois_server': 'whois.godaddy.com', 'registrar_url': 'http://www.godaddy.com', 'updated_date': '2019-07-25T09:47:19Z', 'creation_date': '2001-12-13T08:26:18Z', 'registry_expiry_date': '2024-12-13T08:26:18Z', 'registrar': 'GoDaddy.com, LLC', 'registrar_iana_id': '146', 'registrar_abuse_contact_email': 'abuse@godaddy.com', 'registrar_abuse_contact_phone': '*******-2505'}
2021-02-02 20:25:43 mysql_pool.py [line:64] WARNING: 已经存在的网站信息:{'domain_name': 'DOUYU.COM', 'ip': '110.185.121.217', 'area': None, 'registrar_domain_id': '81120383_DOMAIN_COM-VRSN', 'registrar_whois_server': 'whois.godaddy.com', 'registrar_url': 'http://www.godaddy.com', 'updated_date': '2019-07-25T09:47:19Z', 'creation_date': '2001-12-13T08:26:18Z', 'registry_expiry_date': '2024-12-13T08:26:18Z', 'registrar': 'GoDaddy.com, LLC', 'registrar_iana_id': '146', 'registrar_abuse_contact_email': 'abuse@godaddy.com', 'registrar_abuse_contact_phone': '*******-2505'}
2021-02-02 20:26:55 mysql_pool.py [line:62] INFO: 插入新的网站信息:{'domain_name': 'KUGOU.COM', 'ip': '118.116.2.187', 'area': None, 'registrar_domain_id': '111555517_DOMAIN_COM-VRSN', 'registrar_whois_server': 'whois.35.com', 'registrar_url': 'http://www.35.com', 'updated_date': '2018-06-04T06:30:27Z', 'creation_date': '2004-02-10T01:45:13Z', 'registry_expiry_date': '2027-02-10T01:45:13Z', 'registrar': 'Xiamen 35.Com Technology Co., Ltd.', 'registrar_iana_id': '1316', 'registrar_abuse_contact_email': 'domainabuse@35.cn', 'registrar_abuse_contact_phone': '*********53511'}
2021-02-02 20:27:33 mysql_pool.py [line:64] WARNING: 已经存在的网站信息:{'domain_name': 'KUGOU.COM', 'ip': '118.116.2.187', 'area': None, 'registrar_domain_id': '111555517_DOMAIN_COM-VRSN', 'registrar_whois_server': 'whois.35.com', 'registrar_url': 'http://www.35.com', 'updated_date': '2018-06-04T06:30:27Z', 'creation_date': '2004-02-10T01:45:13Z', 'registry_expiry_date': '2027-02-10T01:45:13Z', 'registrar': 'Xiamen 35.Com Technology Co., Ltd.', 'registrar_iana_id': '1316', 'registrar_abuse_contact_email': 'domainabuse@35.cn', 'registrar_abuse_contact_phone': '*********53511'}
2021-02-02 20:28:27 mysql_pool.py [line:64] WARNING: 已经存在的网站信息:{'domain_name': 'KUGOU.COM', 'ip': '118.116.2.187', 'area': None, 'registrar_domain_id': '111555517_DOMAIN_COM-VRSN', 'registrar_whois_server': 'whois.35.com', 'registrar_url': 'http://www.35.com', 'updated_date': '2018-06-04T06:30:27Z', 'creation_date': '2004-02-10T01:45:13Z', 'registry_expiry_date': '2027-02-10T01:45:13Z', 'registrar': 'Xiamen 35.Com Technology Co., Ltd.', 'registrar_iana_id': '1316', 'registrar_abuse_contact_email': 'domainabuse@35.cn', 'registrar_abuse_contact_phone': '*********53511'}
